name,handedness,height,weight,avg,HR
Tito Fuentes,Both Handed,71,175,0.268,45
Roy White,Both Handed,70,160,0.271,160
Dave Collins,Both Handed,71,175,0.272,32
Steve Ontiveros,Both Handed,72,185,0.274,24
Darrell Brown,Both Handed,72,184,0.274,1
Rick Peters,Both Handed,69,170,0.277,2
Ken Singleton,Both Handed,76,210,0.282,246
Ted Simmons,Both Handed,71,193,0.285,248
Reggie Smith,Both Handed,72,180,0.287,314
Jerry Mumphrey,Both Handed,74,185,0.289,70
Johnny Ray,Both Handed,71,170,0.29,53
Pete Rose,Both Handed,71,192,0.303,160
Steve Barber,Left Handed,72,195,0.115,5
Bob Knepper,Left Handed,75,195,0.137,6
Sam McDowell,Left Handed,77,190,0.154,2
Jerry Reuss,Left Handed,77,200,0.167,1
Ray Sadecki,Left Handed,71,180,0.191,5
Dave Roberts,Left Handed,75,195,0.194,7
Dan Briggs,Left Handed,72,180,0.195,12
Jim French,Left Handed,68,180,0.196,5
John Hale,Left Handed,74,195,0.201,14
Jim Maloney,Left Handed,74,190,0.201,7
Steve Carlton,Left Handed,76,210,0.201,13
Doug Frobel,Left Handed,76,196,0.201,20
Jim Mason,Left Handed,74,185,0.203,12
Don Mason,Left Handed,71,160,0.205,3
Jerry Narron,Left Handed,75,205,0.211,21
Rudy Meoli,Left Handed,69,165,0.212,2
Hal King,Left Handed,73,200,0.214,24
Tom Matchick,Left Handed,73,173,0.215,4
Billy Bryan,Left Handed,76,200,0.216,41
John Stephenson,Left Handed,71,180,0.216,12
Ed Crosby,Left Handed,74,175,0.22,0
Jim Nettles,Left Handed,72,186,0.22,16
Ellie Hendricks,Left Handed,73,175,0.22,62
Bob Jones,Left Handed,74,195,0.221,20
Joe Lahoud,Left Handed,73,198,0.223,65
Tim Johnson,Left Handed,73,170,0.223,0
Roger Repoz,Left Handed,75,190,0.224,82
Dick Nen,Left Handed,74,200,0.224,21
Bob Burda,Left Handed,71,174,0.224,13
Tom Satriano,Left Handed,73,185,0.225,21
Jim Gosger,Left Handed,71,185,0.226,30
Johnny Lewis,Left Handed,73,189,0.227,22
Mike Fiore,Left Handed,72,175,0.227,13
Bill Voss,Left Handed,74,160,0.227,19
Jim Traber,Left Handed,72,194,0.227,27
Dick Phillips,Left Handed,72,180,0.229,12
Duane Walker,Left Handed,72,185,0.229,24
Doug Clemens,Left Handed,72,180,0.229,12
Mike Brumley,Left Handed,70,195,0.229,5
Steve Whitaker,Left Handed,72,180,0.23,24
Sandy Valdespino,Left Handed,68,170,0.23,7
Larry Stahl,Left Handed,72,175,0.232,36
Jake Gibbs,Left Handed,72,180,0.233,25
Wayne Gross,Left Handed,74,210,0.233,121
Clay Dalrymple,Left Handed,72,190,0.233,55
Len Matuszek,Left Handed,74,190,0.234,30
Jim Fairey,Left Handed,70,190,0.235,7
Tim Harkness,Left Handed,74,182,0.235,14
Dalton Jones,Left Handed,73,180,0.235,41
Al Luplow,Left Handed,70,175,0.235,33
Danny Goodwin,Left Handed,73,195,0.236,13
Curt Blefary,Left Handed,74,195,0.237,112
Ed Stroud,Left Handed,71,180,0.237,14
Harry Spilman,Left Handed,73,180,0.237,18
Jerry Kenney,Left Handed,73,170,0.237,7
John Donaldson,Left Handed,71,160,0.238,4
Ty Cline,Left Handed,72,170,0.238,6
Norm Miller,Left Handed,70,185,0.238,24
Ed Kirkpatrick,Left Handed,71,195,0.238,85
Wayne Garrett,Left Handed,71,175,0.239,61
Bernie Allen,Left Handed,72,175,0.239,73
Duke Sims,Left Handed,74,197,0.239,100
Joe Hague,Left Handed,72,195,0.239,40
Ken Phelps,Left Handed,73,209,0.239,123
Mike Phillips,Left Handed,72,170,0.24,11
Ron Hodges,Left Handed,73,185,0.24,19
Ed Herrmann,Left Handed,73,195,0.24,80
Frank Tepedino,Left Handed,71,185,0.241,6
Bill Fahey,Left Handed,72,200,0.241,7
Ron Stone,Left Handed,74,185,0.241,6
Joe Simpson,Left Handed,75,175,0.242,9
Mike Hegan,Left Handed,73,188,0.242,53
Johnny Edwards,Left Handed,76,220,0.242,81
Chuck Hiller,Left Handed,71,170,0.243,20
Bobby Mitchell,Left Handed,70,170,0.243,3
Rick Sofield,Left Handed,73,195,0.243,9
Mike Jorgensen,Left Handed,72,195,0.243,95
Ray Webster,Left Handed,72,185,0.244,17
Mike Epstein,Left Handed,75,230,0.244,130
Jack Brohamer,Left Handed,70,165,0.245,30
Curt Ford,Left Handed,70,150,0.245,7
Tommy McCraw,Left Handed,72,183,0.246,75
Joe Keough,Left Handed,72,185,0.246,9
Dave Marshall,Left Handed,73,182,0.246,16
Dwayne Murphy,Left Handed,73,185,0.246,166
Garry Hancock,Left Handed,72,175,0.247,12
Dick McAuliffe,Left Handed,71,176,0.247,197
Darrell Porter,Left Handed,72,193,0.247,188
Marvell Wynne,Left Handed,71,175,0.247,40
Mike Lum,Left Handed,72,180,0.247,90
Merritt Ranew,Left Handed,71,170,0.247,8
Darrell Evans,Left Handed,74,200,0.248,414
Jim Lyttle,Left Handed,72,180,0.248,9
Ken Boswell,Left Handed,72,170,0.248,31
Willie Smith,Left Handed,72,182,0.248,46
Graig Nettles,Left Handed,72,180,0.248,390
Tom Hutton,Left Handed,71,180,0.248,22
Rob Wilfong,Left Handed,73,180,0.248,39
Larry Harlow,Left Handed,74,185,0.248,12
Gary Thomasson,Left Handed,73,180,0.249,61
John Milner,Left Handed,72,185,0.249,131
Don Mincher,Left Handed,75,205,0.249,200
Denny Doyle,Left Handed,69,175,0.25,16
Johnny Oates,Left Handed,71,188,0.25,14
Terry Crowley,Left Handed,72,180,0.25,42
Jim Spencer,Left Handed,74,195,0.25,146
Ruppert Jones,Left Handed,70,170,0.25,147
Leron Lee,Left Handed,72,196,0.25,31
Sonny Jackson,Left Handed,69,150,0.251,7
Dave May,Left Handed,70,186,0.251,96
Jesse Gonder,Left Handed,70,180,0.251,26
Omar Moreno,Left Handed,74,180,0.252,37
Mack Jones,Left Handed,73,180,0.252,133
Fred Whitfield,Left Handed,73,190,0.253,108
Eddie Milner,Left Handed,71,173,0.253,42
John Mayberry,Left Handed,75,215,0.253,255
John Lowenstein,Left Handed,72,175,0.253,116
Rich Reese,Left Handed,75,185,0.253,52
Johnny Briggs,Left Handed,73,190,0.253,139
Dan Meyer,Left Handed,71,180,0.253,86
Len Gabrielson,Left Handed,76,210,0.253,37
Art Shamsky,Left Handed,73,168,0.253,68
Rich Chiles,Left Handed,71,170,0.254,6
Pete Ward,Left Handed,73,185,0.254,98
Jimmie Hall,Left Handed,72,175,0.254,121
Brian Asselstine,Left Handed,73,175,0.254,12
Pat Putnam,Left Handed,72,205,0.255,63
Tim Flannery,Left Handed,71,175,0.255,9
Tony Solaita,Left Handed,72,210,0.255,50
Lee Thomas,Left Handed,74,195,0.255,106
Champ Summers,Left Handed,74,205,0.255,54
Bill Sharp,Left Handed,70,178,0.255,9
Walt Bond,Left Handed,79,228,0.256,41
Craig Reynolds,Left Handed,73,175,0.256,42
Boots Day,Left Handed,69,160,0.256,8
Tom O'Malley,Left Handed,72,180,0.256,13
Rick Manning,Left Handed,73,180,0.257,56
Gates Brown,Left Handed,71,220,0.257,84
Pete LaCock,Left Handed,74,200,0.257,27
Jerry Turner,Left Handed,69,180,0.257,45
Tom Haller,Left Handed,76,195,0.257,134
Dave Rader,Left Handed,71,165,0.257,30
Cesar Geronimo,Left Handed,72,165,0.258,51
Joe Lefebvre,Left Handed,70,170,0.258,31
Steve Hovley,Left Handed,70,188,0.258,8
Mike Cubbage,Left Handed,72,180,0.258,34
Joe Pepitone,Left Handed,74,185,0.258,219
Del Unser,Left Handed,73,180,0.258,87
Tony Muser,Left Handed,74,180,0.259,7
Mike Davis,Left Handed,74,175,0.259,91
Clint Hurdle,Left Handed,75,195,0.259,32
Hosken Powell,Left Handed,73,175,0.259,17
Ed Ott,Left Handed,70,190,0.259,33
Rowland Office,Left Handed,72,170,0.259,32
Ed Goodson,Left Handed,75,180,0.26,30
Jim Dwyer,Left Handed,70,165,0.26,77
Greg Walker,Left Handed,75,205,0.26,113
Brock Davis,Left Handed,70,160,0.26,1
Mike Squires,Left Handed,71,185,0.26,6
Ed Kranepool,Left Handed,75,205,0.261,118
Jose Tartabull,Left Handed,71,165,0.261,2
Roy Howell,Left Handed,73,190,0.261,80
Bob Chance,Left Handed,74,196,0.261,24
Jason Thompson,Left Handed,76,200,0.261,208
Scot Thompson,Left Handed,75,195,0.262,5
Willie Upshaw,Left Handed,72,185,0.262,123
Reggie Jackson,Left Handed,72,195,0.262,563
Joe Nolan,Left Handed,71,175,0.263,27
Bruce Boisclair,Left Handed,74,185,0.263,10
Milt May,Left Handed,72,190,0.263,77
Ted Uhlaender,Left Handed,74,190,0.263,36
Rick Monday,Left Handed,75,193,0.264,241
Jim Norris,Left Handed,70,175,0.264,7
Bernie Carbo,Left Handed,71,173,0.264,96
Bob Molinaro,Left Handed,72,190,0.264,14
Ken Retzer,Left Handed,72,185,0.264,14
Phil Mankowski,Left Handed,72,180,0.264,8
Pat Kelly,Left Handed,73,185,0.264,76
Oscar Gamble,Left Handed,71,160,0.265,200
Bobby Tolan,Left Handed,71,170,0.265,86
Rich Coggins,Left Handed,68,170,0.265,12
Jim Holt,Left Handed,72,180,0.265,19
Daryl Sconiers,Left Handed,74,185,0.265,15
Dave Revering,Left Handed,76,210,0.265,62
Mitchell Page,Left Handed,74,205,0.266,72
Wayne Krenchicki,Left Handed,73,180,0.266,15
Boog Powell,Left Handed,76,230,0.266,339
Gail Hopkins,Left Handed,70,198,0.266,25
Jay Johnstone,Left Handed,73,175,0.267,102
Jim Northrup,Left Handed,75,190,0.267,153
Dan Driessen,Left Handed,71,187,0.267,153
Willie Crawford,Left Handed,73,197,0.268,86
George Vukovich,Left Handed,72,198,0.268,27
Ken Landreaux,Left Handed,70,165,0.268,91
Rick Leach,Left Handed,73,180,0.268,18
Tom Poquette,Left Handed,70,175,0.268,10
Rick Miller,Left Handed,72,175,0.269,28
Tim Corcoran,Left Handed,71,175,0.27,12
Jack Perconte,Left Handed,70,160,0.27,2
Al Woods,Left Handed,75,190,0.271,35
Rudy Law,Left Handed,73,165,0.271,18
Duane Kuiper,Left Handed,72,175,0.271,1
Joe Morgan,Left Handed,67,160,0.271,268
Steve Braun,Left Handed,70,180,0.271,52
Willie Aikens,Left Handed,75,220,0.271,110
Broderick Perkins,Left Handed,70,180,0.271,8
Manny Jimenez,Left Handed,73,185,0.272,26
Thad Bosley,Left Handed,75,175,0.272,20
Von Joshua,Left Handed,70,170,0.273,30
Larry Biittner,Left Handed,74,205,0.273,29
Ben Oglivie,Left Handed,74,160,0.273,235
Gene Locklear,Left Handed,70,165,0.274,9
Terry Francona,Left Handed,73,190,0.274,16
Carlos May,Left Handed,71,200,0.274,90
Willie Montanez,Left Handed,72,170,0.275,139
Jerry Remy,Left Handed,69,165,0.275,7
Dane Iorg,Left Handed,72,180,0.276,14
Richie Hebner,Left Handed,73,195,0.276,203
Jeff Stone,Left Handed,72,175,0.277,11
Leon Durham,Left Handed,73,185,0.277,147
Bobby Murcer,Left Handed,71,160,0.277,252
Jorge Orta,Left Handed,70,170,0.278,130
Claudell Washington,Left Handed,72,190,0.278,164
Johnny Grubb,Left Handed,75,175,0.278,99
Steve Kemp,Left Handed,72,195,0.278,130
Chris Chambliss,Left Handed,73,195,0.279,185
Rusty Staub,Left Handed,74,190,0.279,292
Vic Davalillo,Left Handed,67,150,0.279,36
Willie Davis,Left Handed,74,180,0.279,182
Glenn Adams,Left Handed,73,180,0.28,34
Al Bumbry,Left Handed,68,170,0.281,54
Terry Whitfield,Left Handed,73,197,0.281,33
Bruce Bochte,Left Handed,75,195,0.282,100
Willie Stargell,Left Handed,74,188,0.282,475
Floyd Robinson,Left Handed,69,175,0.283,67
Fred Lynn,Left Handed,73,185,0.283,306
Jose Cruz,Left Handed,72,170,0.284,165
Carl Yastrzemski,Left Handed,71,175,0.285,452
Tony Gonzalez,Left Handed,69,170,0.286,103
Greg Gross,Left Handed,70,160,0.287,7
Bill Buckner,Left Handed,72,185,0.289,174
Gene Richards,Left Handed,72,175,0.29,26
Mike Hargrove,Left Handed,72,195,0.29,80
Lou Brock,Left Handed,71,170,0.293,149
Mike Easler,Left Handed,72,190,0.293,118
Ron Blomberg,Left Handed,73,195,0.293,52
Mickey Rivers,Left Handed,70,165,0.295,61
Keith Hernandez,Left Handed,72,180,0.296,162
Cecil Cooper,Left Handed,74,165,0.298,241
Bake McBride,Left Handed,74,190,0.299,63
Al Oliver,Left Handed,72,195,0.303,219
Tony Oliva,Left Handed,73,175,0.304,220
Ralph Garr,Left Handed,71,185,0.306,75
Matty Alou,Left Handed,69,160,0.307,31
Lyman Bostock,Left Handed,73,180,0.311,23
Rod Carew,Left Handed,72,170,0.328,92
Dean Chance,Right Handed,75,200,0.066,0
Jack Billingham,Right Handed,76,195,0.111,0
Jerry Koosman,Right Handed,74,205,0.119,2
Burt Hooton,Right Handed,73,210,0.123,4
Ray Culp,Right Handed,72,200,0.123,1
Al Downing,Right Handed,71,175,0.127,2
Denny Lemaster,Right Handed,73,182,0.13,4
Gaylord Perry,Right Handed,76,205,0.131,6
Randy Jones,Right Handed,72,178,0.132,0
Mario Soto,Right Handed,72,174,0.132,1
Denny McLain,Right Handed,73,185,0.133,1
Dave McNally,Right Handed,71,185,0.133,9
Joe Horlen,Right Handed,72,170,0.134,0
Larry Dierker,Right Handed,76,215,0.136,4
Jim Lonborg,Right Handed,77,200,0.136,3
Gary Nolan,Right Handed,74,197,0.138,1
Steve Rogers,Right Handed,74,175,0.138,0
Woodie Fryman,Right Handed,75,197,0.138,2
Don Sutton,Right Handed,73,185,0.144,0
Don Wilson,Right Handed,74,195,0.146,1
Ray Burris,Right Handed,77,200,0.151,1
Tom Seaver,Right Handed,73,195,0.154,12
Joe Niekro,Right Handed,73,185,0.156,1
Carl Morton,Right Handed,72,200,0.156,7
Tommy John,Right Handed,75,180,0.157,5
Ron Reed,Right Handed,78,215,0.158,0
Mel Stottlemyre,Right Handed,73,178,0.16,7
John Vukovich,Right Handed,73,187,0.161,6
Jim Barr,Right Handed,75,205,0.162,1
Ken Holtzman,Right Handed,74,175,0.163,2
Luis Tiant,Right Handed,72,180,0.164,5
Fergie Jenkins,Right Handed,77,205,0.165,13
Juan Marichal,Right Handed,72,185,0.165,4
J.R. Richard,Right Handed,80,222,0.168,10
Phil Niekro,Right Handed,73,180,0.169,7
Andy Messersmith,Right Handed,73,200,0.17,5
John Denny,Right Handed,75,185,0.17,0
Steve Blass,Right Handed,72,165,0.172,1
Sonny Siebert,Right Handed,75,190,0.173,12
Ray Oyler,Right Handed,71,165,0.175,15
Tommy Dean,Right Handed,72,165,0.18,4
Dick Ruthven,Right Handed,75,190,0.183,1
Bill Plummer,Right Handed,73,190,0.188,14
Ron Clark,Right Handed,70,175,0.189,5
Tony Cloninger,Right Handed,72,210,0.192,11
Mike Ryan,Right Handed,74,205,0.193,28
Mike Krukow,Right Handed,77,205,0.193,5
Luis Pujols,Right Handed,74,175,0.193,6
Rick Wise,Right Handed,73,180,0.195,15
Rich Morales,Right Handed,71,170,0.195,6
Bob Davis,Right Handed,72,180,0.197,6
Doug Camilli,Right Handed,71,195,0.199,18
Frank Fernandez,Right Handed,72,185,0.199,39
Orlando Mercado,Right Handed,72,180,0.199,7
Bob Uecker,Right Handed,73,190,0.2,14
Tom Egan,Right Handed,76,218,0.2,22
Jim Rooker,Right Handed,72,195,0.201,7
Jerry Zimmerman,Right Handed,74,185,0.204,3
Tom Nieto,Right Handed,73,193,0.205,5
George Smith,Right Handed,70,170,0.205,9
Dick Simpson,Right Handed,76,176,0.207,15
Tom Lawless,Right Handed,71,170,0.207,2
Jackie Hernandez,Right Handed,71,165,0.208,12
Bobby Klaus,Right Handed,70,170,0.208,6
Luis Gomez,Right Handed,69,150,0.21,0
Jack Heidemann,Right Handed,72,175,0.211,9
Terry Humphrey,Right Handed,75,185,0.211,6
Angel Salazar,Right Handed,72,180,0.212,2
Ned Yost,Right Handed,73,190,0.212,16
Dave Nicholson,Right Handed,74,215,0.212,61
Dave Hilton,Right Handed,71,191,0.213,6
Alan Knicely,Right Handed,72,190,0.213,12
Ken Rudolph,Right Handed,73,180,0.213,6
Curt Motton,Right Handed,68,164,0.213,25
Dick Tracewski,Right Handed,71,160,0.213,8
Dave Campbell,Right Handed,73,180,0.213,20
Bob Forsch,Right Handed,76,200,0.213,12
Mick Kelleher,Right Handed,69,176,0.213,0
Luis Alvarado,Right Handed,69,162,0.214,5
Dave Duncan,Right Handed,74,190,0.214,109
Jim Price,Right Handed,72,192,0.214,18
Jeff Torborg,Right Handed,72,195,0.214,8
Frank Quilici,Right Handed,73,170,0.214,5
Larry Haney,Right Handed,74,195,0.215,12
Phil Roof,Right Handed,74,190,0.215,43
Jose Arcia,Right Handed,75,170,0.215,1
Mario Mendoza,Right Handed,71,170,0.215,4
Steve Renko,Right Handed,77,230,0.215,6
Skip Jutze,Right Handed,71,190,0.215,3
Bobby Wine,Right Handed,73,187,0.215,30
Hector Torres,Right Handed,72,175,0.216,18
Steve Swisher,Right Handed,74,205,0.216,20
Pat Corrales,Right Handed,72,180,0.216,4
Howie Goss,Right Handed,76,204,0.216,11
Fred Stanley,Right Handed,70,165,0.216,10
Dal Maxvill,Right Handed,71,157,0.217,6
Jim Anderson,Right Handed,72,170,0.218,13
Stan Papi,Right Handed,72,170,0.218,7
Tucker Ashford,Right Handed,73,195,0.218,6
Ted Ford,Right Handed,70,180,0.219,17
Craig Robinson,Right Handed,70,165,0.219,0
John Boccabella,Right Handed,73,195,0.219,26
Jerry Buchek,Right Handed,71,185,0.22,22
Tim Cullen,Right Handed,73,185,0.22,9
Danny Ainge,Right Handed,76,175,0.22,2
Pedro Garcia,Right Handed,70,175,0.22,37
Rick Auerbach,Right Handed,72,165,0.22,9
Todd Cruz,Right Handed,72,175,0.22,34
Mike Fischlin,Right Handed,73,165,0.22,3
Bob Coluccio,Right Handed,71,183,0.22,26
Duffy Dyer,Right Handed,72,187,0.221,30
Larry Cox,Right Handed,70,178,0.221,12
Ken Gerhart,Right Handed,72,190,0.221,24
Gary Allenson,Right Handed,71,185,0.221,19
Rick Renick,Right Handed,72,188,0.221,20
Kevin Bell,Right Handed,72,195,0.222,13
Johnnie LeMaster,Right Handed,74,165,0.222,22
Danny Walton,Right Handed,72,195,0.223,28
Marc Hill,Right Handed,75,205,0.223,34
Nelson Mathews,Right Handed,76,195,0.223,22
Sam Bowens,Right Handed,73,188,0.223,45
Andres Mora,Right Handed,72,180,0.223,27
Jimmie Schaffer,Right Handed,69,170,0.223,11
Jeff Newman,Right Handed,74,215,0.224,63
Ed Brinkman,Right Handed,72,170,0.224,60
Enzo Hernandez,Right Handed,68,155,0.224,2
Carmen Fanzone,Right Handed,72,200,0.224,20
Buck Martinez,Right Handed,70,190,0.225,58
Bobby Cox,Right Handed,71,180,0.225,9
Paul Casanova,Right Handed,76,180,0.225,50
Hector Cruz,Right Handed,71,170,0.225,39
Tim Laudner,Right Handed,75,212,0.225,77
Gorman Thomas,Right Handed,74,210,0.225,268
Rich McKinney,Right Handed,71,185,0.225,20
John Kennedy,Right Handed,72,185,0.225,32
Tommie Reynolds,Right Handed,74,190,0.226,12
Mike Richardt,Right Handed,72,170,0.226,4
Mike Sadek,Right Handed,69,165,0.226,5
Buddy Bradford,Right Handed,71,170,0.226,52
Nate Oliver,Right Handed,70,160,0.226,2
Catfish Hunter,Right Handed,72,190,0.226,6
Bob Barton,Right Handed,72,175,0.226,9
Pete Mackanin,Right Handed,74,190,0.226,30
Sal Butera,Right Handed,72,190,0.227,8
Dick Billings,Right Handed,73,195,0.227,16
Ken Suarez,Right Handed,69,175,0.227,5
Joe Nossek,Right Handed,72,178,0.228,3
Mark Belanger,Right Handed,73,170,0.228,20
Steve Yeager,Right Handed,72,190,0.228,102
Brian Giles,Right Handed,73,165,0.228,10
Hal Lanier,Right Handed,74,180,0.228,8
Russ Gibson,Right Handed,73,195,0.228,8
Wayne Comer,Right Handed,70,175,0.229,16
Mike Champion,Right Handed,72,185,0.229,2
Vic Correll,Right Handed,70,185,0.229,29
Glenn Borgmann,Right Handed,76,210,0.229,16
Tommie Aaron,Right Handed,75,190,0.229,13
Dave Hostetler,Right Handed,76,215,0.229,37
Don Leppert,Right Handed,74,220,0.229,15
Syd O'Brien,Right Handed,73,185,0.23,24
Lenn Sakata,Right Handed,69,160,0.23,25
Cap Peterson,Right Handed,74,195,0.23,19
Barry Foote,Right Handed,75,205,0.23,57
Gary Alexander,Right Handed,74,195,0.23,55
John Bateman,Right Handed,75,210,0.23,81
Winston Llenas,Right Handed,70,165,0.23,3
Brad Wellman,Right Handed,72,170,0.231,6
Ken Walters,Right Handed,73,180,0.231,11
Jim Beauchamp,Right Handed,74,190,0.231,14
Elio Chacon,Right Handed,69,160,0.232,4
Vern Fuller,Right Handed,73,170,0.232,14
Bob Tillman,Right Handed,76,205,0.232,79
Ron Gardenhire,Right Handed,72,175,0.232,4
Frank Duffy,Right Handed,73,180,0.232,26
Steve Lombardozzi,Right Handed,72,175,0.233,20
Larry Brown,Right Handed,70,160,0.233,47
Coco Laboy,Right Handed,70,165,0.233,28
Bob Kearney,Right Handed,72,190,0.233,27
Ron Woods,Right Handed,70,168,0.233,26
Joe Lis,Right Handed,72,175,0.233,32
Terry Harmon,Right Handed,74,180,0.233,4
Ted Savage,Right Handed,73,185,0.233,34
Ron Davis,Right Handed,72,175,0.233,10
Andres Thomas,Right Handed,73,170,0.234,42
Rob Picciolo,Right Handed,74,185,0.234,17
Jerry May,Right Handed,74,190,0.234,15
Fred Kendall,Right Handed,73,185,0.234,31
Jerry Dybzinski,Right Handed,74,180,0.234,3
Andy Etchebarren,Right Handed,73,190,0.235,49
Cesar Gutierrez,Right Handed,69,155,0.235,0
Chris Cannizzaro,Right Handed,72,190,0.235,18
Julio Gonzalez,Right Handed,71,162,0.235,4
Bobby Mitchell,Right Handed,75,185,0.235,21
Fernando Gonzalez,Right Handed,70,165,0.235,17
Phil Linz,Right Handed,73,180,0.235,11
Craig Kusick,Right Handed,75,210,0.235,46
Dave Kingman,Right Handed,78,210,0.236,442
Kurt Bevacqua,Right Handed,72,180,0.236,27
Byron Browne,Right Handed,74,190,0.236,30
Billy Cowan,Right Handed,72,170,0.236,40
George Mitterwald,Right Handed,74,195,0.236,76
Bobby Knoop,Right Handed,73,170,0.236,56
Woody Woodward,Right Handed,74,180,0.236,1
Andy Kosco,Right Handed,75,205,0.236,73
Randy Hundley,Right Handed,71,170,0.236,82
Eddie Leon,Right Handed,72,170,0.236,24
Dave Rosello,Right Handed,71,160,0.236,10
Dale Berra,Right Handed,72,180,0.236,49
Luis Aguayo,Right Handed,69,173,0.236,37
Billy Grabarkewitz,Right Handed,70,165,0.236,28
Don Hahn,Right Handed,73,180,0.236,7
Doug Ault,Right Handed,75,200,0.236,17
Ivan Murrell,Right Handed,74,195,0.236,33
Aurelio Rodriguez,Right Handed,70,180,0.237,124
Glenn Burke,Right Handed,72,195,0.237,2
Jerry McNertney,Right Handed,72,180,0.237,27
Dave Edwards,Right Handed,72,170,0.237,14
Jackie Gutierrez,Right Handed,71,175,0.237,4
Gil Garrido,Right Handed,69,150,0.237,1
Ed Spiezio,Right Handed,71,180,0.238,39
Rick Rhoden,Right Handed,75,195,0.238,9
Don Lock,Right Handed,74,195,0.238,122
Doug Flynn,Right Handed,71,165,0.238,7
Chuck Harrison,Right Handed,70,185,0.238,17
Doc Edwards,Right Handed,74,215,0.238,15
Phil Gagliano,Right Handed,73,180,0.238,14
Chuck Schilling,Right Handed,70,160,0.239,23
Dave Roberts,Right Handed,75,215,0.239,49
Bruce Bochy,Right Handed,75,205,0.239,26
Bobby Clark,Right Handed,72,190,0.239,19
Onix Concepcion,Right Handed,66,160,0.239,3
Kiko Garcia,Right Handed,71,180,0.239,12
Charley Smith,Right Handed,73,170,0.239,69
Ron Brand,Right Handed,67,167,0.239,3
Ken Harrelson,Right Handed,74,190,0.239,131
Ted Martinez,Right Handed,72,165,0.24,7
Gary Gray,Right Handed,72,187,0.24,24
